CVDBB_bbands_length,CVDBB_bbands_stddev,CVDBB_cvd_length,CVDBB_atr_length,CVDBB_sl_coef,CVDBB_tpsl_ratio,period,end_value,total_return_pct,benchmark_return_pct,total_fees_paid,max_drawdown_pct,max_drawdown_duration,total_trades,win_rate_pct,best_trade_pct,worst_trade_pct,avg_winning_trade_pct,avg_losing_trade_pct,profit_factor,expectancy,sharpe_ratio,calmar_ratio,omega_ratio,sortino_ratio
25,2.000000,40,10,2.000000,2.500000,218 days 10:00:00,740.992225,-25.900778,-50.755473,50.703863,30.401747,216 days 17:00:00,134,23.308271,12.371092,-6.165857,5.853676,-2.588248,0.704600,-1.975263,-2.261693,-1.296113,0.918155,-3.167950
25,2.500000,40,10,2.000000,2.500000,218 days 10:00:00,680.055625,-31.994438,-50.755473,48.007879,34.239557,216 days 17:00:00,126,20.800000,12.104222,-6.165857,5.813938,-2.553906,0.622368,-2.586745,-2.991885,-1.387275,0.891239,-4.134902
25,3.000000,40,10,2.000000,2.500000,218 days 10:00:00,713.812497,-28.618750,-50.755473,42.819295,31.744209,216 days 17:00:00,111,20.909091,12.104222,-6.165857,5.865214,-2.486803,0.613308,-2.618922,-2.786918,-1.356863,0.890521,-3.817780
25,3.500000,40,10,2.000000,2.500000,218 days 10:00:00,723.179491,-27.682051,-50.755473,40.408021,28.437890,216 days 17:00:00,103,20.588235,12.104222,-6.165857,5.655004,-2.460794,0.598797,-2.732791,-2.788620,-1.470526,0.884577,-3.831844
25,4.000000,40,10,2.000000,2.500000,218 days 10:00:00,737.918299,-26.208170,-50.755473,39.818184,27.725258,216 days 17:00:00,101,21.000000,12.104222,-6.165857,5.655004,-2.464214,0.612418,-2.640436,-2.619664,-1.436365,0.890589,-3.609906
25,4.500000,40,10,2.000000,2.500000,218 days 10:00:00,737.918299,-26.208170,-50.755473,39.818184,27.725258,216 days 17:00:00,101,21.000000,12.104222,-6.165857,5.655004,-2.464214,0.612418,-2.640436,-2.619664,-1.436365,0.890589,-3.609906
25,5.000000,40,10,2.000000,2.500000,218 days 10:00:00,737.918299,-26.208170,-50.755473,39.818184,27.725258,216 days 17:00:00,101,21.000000,12.104222,-6.165857,5.655004,-2.464214,0.612418,-2.640436,-2.619664,-1.436365,0.890589,-3.609906
25,5.500000,40,10,2.000000,2.500000,218 days 10:00:00,737.918299,-26.208170,-50.755473,39.818184,27.725258,216 days 17:00:00,101,21.000000,12.104222,-6.165857,5.655004,-2.464214,0.612418,-2.640436,-2.619664,-1.436365,0.890589,-3.609906
35,2.000000,40,10,2.000000,2.500000,218 days 10:00:00,896.720398,-10.327960,-50.755473,44.554583,14.709891,148 days 21:00:00,108,27.102804,17.783162,-6.404061,6.116280,-2.742242,0.855684,-1.012970,-0.823353,-1.132169,0.968119,-1.176939
35,2.500000,40,10,2.000000,2.500000,218 days 10:00:00,813.484183,-18.651582,-50.755473,49.195002,25.162557,93 days 04:00:00,117,25.000000,9.447633,-6.404061,5.213359,-2.673787,0.775360,-1.614915,-1.599555,-1.159485,0.937061,-2.292917
35,3.000000,40,10,2.000000,2.500000,218 days 10:00:00,824.838817,-17.516118,-50.755473,39.326416,20.258302,216 days 17:00:00,96,24.210526,9.447633,-6.404061,5.345360,-2.615968,0.734121,-1.861179,-1.638627,-1.358252,0.929905,-2.340779
35,3.500000,40,10,2.000000,2.500000,218 days 10:00:00,837.483948,-16.251605,-50.755473,36.323304,20.443641,216 days 17:00:00,88,24.137931,9.447633,-6.404061,5.486353,-2.563990,0.730834,-1.887291,-1.560680,-1.254638,0.932249,-2.221064
35,4.000000,40,10,2.000000,2.500000,218 days 10:00:00,846.191311,-15.380869,-50.755473,36.045441,19.638470,216 days 17:00:00,87,24.418605,9.447633,-6.404061,5.486353,-2.568179,0.742154,-1.808179,-1.466597,-1.240069,0.935946,-2.089547
35,4.500000,40,10,2.000000,2.500000,218 days 10:00:00,854.746694,-14.525331,-50.755473,35.657895,18.803604,216 days 17:00:00,86,24.705882,9.447633,-6.404061,5.486353,-2.578510,0.753294,-1.728994,-1.375406,-1.226925,0.939511,-1.961088
35,5.000000,40,10,2.000000,2.500000,218 days 10:00:00,854.746694,-14.525331,-50.755473,35.657895,18.803604,216 days 17:00:00,86,24.705882,9.447633,-6.404061,5.486353,-2.578510,0.753294,-1.728994,-1.375406,-1.226925,0.939511,-1.961088
35,5.500000,40,10,2.000000,2.500000,218 days 10:00:00,854.746694,-14.525331,-50.755473,35.657895,18.803604,216 days 17:00:00,86,24.705882,9.447633,-6.404061,5.486353,-2.578510,0.753294,-1.728994,-1.375406,-1.226925,0.939511,-1.961088
45,2.000000,40,10,2.000000,2.500000,218 days 10:00:00,908.969272,-9.103073,-50.755473,43.745420,16.469080,148 days 21:00:00,107,27.358491,17.783162,-6.404061,6.084127,-2.736477,0.866402,-0.924035,-0.758386,-0.895183,0.970210,-1.072135
45,2.500000,40,10,2.000000,2.500000,218 days 10:00:00,929.992130,-7.000787,-50.755473,47.702427,16.411024,93 days 04:00:00,110,28.440367,9.447633,-6.404061,5.207111,-2.623734,0.909014,-0.625000,-0.548394,-0.696005,0.976780,-0.787087
45,3.000000,40,10,2.000000,2.500000,218 days 10:00:00,856.296968,-14.370303,-50.755473,38.494322,18.624919,214 days 19:00:00,92,25.274725,9.447633,-6.404061,5.420114,-2.574309,0.773247,-1.560103,-1.413164,-1.226169,0.934639,-2.001749
45,3.500000,40,10,2.000000,2.500000,218 days 10:00:00,896.794017,-10.320598,-50.755473,35.401444,15.707827,203 days 14:00:00,84,26.506024,9.447633,-6.404061,5.379687,-2.581758,0.822613,-1.221547,-1.013383,-1.059513,0.951358,-1.435722
45,4.000000,40,10,2.000000,2.500000,218 days 10:00:00,921.616841,-7.838316,-50.755473,33.921558,15.083049,203 days 14:00:00,78,27.272727,9.447633,-6.404061,5.318064,-2.577011,0.857048,-0.993692,-0.752648,-0.845398,0.962903,-1.071997
45,4.500000,40,10,2.000000,2.500000,218 days 10:00:00,921.616841,-7.838316,-50.755473,33.921558,15.083049,203 days 14:00:00,78,27.272727,9.447633,-6.404061,5.318064,-2.577011,0.857048,-0.993692,-0.752648,-0.845398,0.962903,-1.071997
45,5.000000,40,10,2.000000,2.500000,218 days 10:00:00,921.616841,-7.838316,-50.755473,33.921558,15.083049,203 days 14:00:00,78,27.272727,9.447633,-6.404061,5.318064,-2.577011,0.857048,-0.993692,-0.752648,-0.845398,0.962903,-1.071997
45,5.500000,40,10,2.000000,2.500000,218 days 10:00:00,921.616841,-7.838316,-50.755473,33.921558,15.083049,203 days 14:00:00,78,27.272727,9.447633,-6.404061,5.318064,-2.577011,0.857048,-0.993692,-0.752648,-0.845398,0.962903,-1.071997
55,2.000000,40,10,2.000000,2.500000,218 days 10:00:00,915.306784,-8.469322,-50.755473,35.182617,22.125733,163 days 12:00:00,83,26.829268,17.783162,-7.081725,5.680108,-2.876075,0.846712,-1.117677,-0.778296,-0.621320,0.968884,-1.124720
55,2.500000,40,10,2.000000,2.500000,218 days 10:00:00,889.505239,-11.049476,-50.755473,32.614208,19.843934,159 days 16:00:00,79,25.641026,9.447633,-7.081725,5.241855,-2.818043,0.788156,-1.503263,-1.069023,-0.895575,0.953798,-1.533933
55,3.000000,40,10,2.000000,2.500000,218 days 10:00:00,884.122006,-11.587799,-50.755473,28.025066,16.648471,177 days 17:00:00,68,25.000000,9.447633,-7.081725,5.363128,-2.785316,0.762205,-1.704088,-1.200017,-1.117319,0.945865,-1.716602
55,3.500000,40,10,2.000000,2.500000,218 days 10:00:00,887.372789,-11.262721,-50.755473,25.841392,16.034530,148 days 21:00:00,61,24.590164,9.447633,-7.081725,5.384708,-2.748422,0.746966,-1.846348,-1.249921,-1.128869,0.940617,-1.774110
55,4.000000,40,10,2.000000,2.500000,218 days 10:00:00,875.896306,-12.410369,-50.755473,24.701456,17.172177,177 days 17:00:00,59,23.728814,9.447633,-7.081725,5.355609,-2.755140,0.710963,-2.103452,-1.413049,-1.156712,0.932844,-1.996719
55,4.500000,40,10,2.000000,2.500000,218 days 10:00:00,893.664551,-10.633545,-50.755473,24.222695,16.315231,177 days 17:00:00,57,24.561404,9.447633,-7.081725,5.355609,-2.758631,0.743725,-1.865534,-1.194414,-1.049828,0.942635,-1.695311
55,5.000000,40,10,2.000000,2.500000,218 days 10:00:00,893.664551,-10.633545,-50.755473,24.222695,16.315231,177 days 17:00:00,57,24.561404,9.447633,-7.081725,5.355609,-2.758631,0.743725,-1.865534,-1.194414,-1.049828,0.942635,-1.695311
55,5.500000,40,10,2.000000,2.500000,218 days 10:00:00,893.664551,-10.633545,-50.755473,24.222695,16.315231,177 days 17:00:00,57,24.561404,9.447633,-7.081725,5.355609,-2.758631,0.743725,-1.865534,-1.194414,-1.049828,0.942635,-1.695311
65,2.000000,40,10,2.000000,2.500000,218 days 10:00:00,925.251477,-7.474852,-50.755473,34.154861,18.791824,148 days 21:00:00,82,27.160494,17.783162,-7.081725,5.810346,-2.766881,0.856508,-1.011432,-0.691923,-0.647910,0.971076,-0.992189
65,2.500000,40,10,2.000000,2.500000,218 days 10:00:00,861.712102,-13.828790,-50.755473,25.060902,15.992929,148 days 21:00:00,64,23.437500,17.683981,-7.081725,6.139656,-2.898968,0.704282,-2.160748,-1.587338,-1.376866,0.926638,-2.218464
65,3.000000,40,10,2.000000,2.500000,218 days 10:00:00,885.335932,-11.466407,-50.755473,22.833772,15.147480,148 days 21:00:00,58,24.137931,8.726779,-7.081725,5.468550,-2.912007,0.728457,-1.976967,-1.315047,-1.215701,0.936746,-1.837963
65,3.500000,40,10,2.000000,2.500000,218 days 10:00:00,909.136329,-9.086367,-50.755473,20.982710,11.934288,214 days 19:00:00,52,25.000000,8.726779,-7.081725,5.586156,-2.845040,0.758716,-1.747378,-1.071924,-1.233141,0.945191,-1.498560
65,4.000000,40,10,2.000000,2.500000,218 days 10:00:00,897.029397,-10.297060,-50.755473,19.961442,13.962645,214 days 19:00:00,50,24.000000,8.726779,-7.081725,5.524083,-2.850891,0.715321,-2.059412,-1.252123,-1.189322,0.935999,-1.740922
65,4.500000,40,10,2.000000,2.500000,218 days 10:00:00,897.029397,-10.297060,-50.755473,19.961442,13.962645,214 days 19:00:00,50,24.000000,8.726779,-7.081725,5.524083,-2.850891,0.715321,-2.059412,-1.252123,-1.189322,0.935999,-1.740922
