CVDBB_bbands_length,CVDBB_bbands_stddev,CVDBB_cvd_length,CVDBB_atr_length,CVDBB_sl_coef,CVDBB_tpsl_ratio,period,end_value,total_return_pct,benchmark_return_pct,total_fees_paid,max_drawdown_pct,max_drawdown_duration,total_trades,win_rate_pct,best_trade_pct,worst_trade_pct,avg_winning_trade_pct,avg_losing_trade_pct,profit_factor,expectancy,sharpe_ratio,calmar_ratio,omega_ratio,sortino_ratio
76,5.327500,45,11,2.779691,4.193700,218 days 10:00:00,861.273569,-13.872643,-50.755473,12.247692,18.670393,125 days 12:00:00,41,12.500000,25.877308,-9.683651,13.362184,-3.475618,0.549007,-3.638882,-1.785310,-1.182965,0.921016,-2.527556
107,2.349912,45,14,2.866176,4.202230,218 days 10:00:00,928.133998,-7.186600,-50.755473,9.300587,14.959196,212 days 14:00:00,34,15.151515,40.107794,-6.026611,21.228123,-3.383366,0.692517,-2.413012,-0.922484,-0.783311,0.963805,-1.269085
27,2.072046,36,12,2.721999,4.877105,218 days 10:00:00,842.238318,-15.776168,-50.755473,14.154789,23.489209,194 days 21:00:00,47,10.869565,20.820809,-8.228704,14.508671,-3.430150,0.556305,-3.664918,-1.772471,-1.061878,0.939824,-2.430496
88,5.472740,35,6,2.304242,4.049513,218 days 10:00:00,772.717550,-22.728245,-50.755473,13.426199,29.012853,214 days 00:00:00,42,7.317073,26.299074,-8.897338,15.702706,-2.981976,0.276387,-5.691589,-3.178218,-1.206588,0.857666,-4.115772
113,3.019302,44,16,2.046666,4.947511,218 days 10:00:00,924.593635,-7.540636,-50.755473,17.570034,13.879384,134 days 09:00:00,43,14.285714,18.067086,-6.908770,10.788471,-2.662528,0.751314,-2.011007,-0.725861,-0.884746,0.964457,-1.019713
86,2.317123,53,19,2.382462,4.966462,218 days 10:00:00,953.373701,-4.662630,-50.755473,14.541614,15.060392,170 days 00:00:00,40,15.384615,35.899875,-5.152236,14.285460,-2.925862,0.834824,-1.364452,-0.440762,-0.509234,0.981572,-0.630913
27,5.009791,41,13,2.170524,3.130103,218 days 10:00:00,712.118581,-28.788142,-50.755473,28.391304,28.945273,216 days 18:00:00,82,14.814815,15.565499,-6.270976,8.604230,-2.672135,0.505764,-3.570139,-2.925381,-1.495861,0.887771,-3.993984
113,5.379712,52,8,2.385417,3.031933,218 days 10:00:00,850.500917,-14.949908,-50.755473,12.670241,18.308080,212 days 14:00:00,37,13.888889,9.561705,-8.936009,6.526754,-3.123433,0.445750,-4.358102,-2.143420,-1.294954,0.879193,-2.859007
108,2.843589,41,6,2.609997,4.666390,218 days 10:00:00,837.071539,-16.292846,-50.755473,13.065227,16.650774,212 days 14:00:00,39,10.256410,17.025239,-10.668690,11.624780,-3.336700,0.490773,-4.177653,-2.164676,-1.544105,0.893496,-2.957365
102,3.368712,52,7,2.662522,3.623422,218 days 10:00:00,860.967407,-13.903259,-50.755473,10.330188,17.042085,213 days 20:00:00,34,12.121212,11.433640,-10.579175,8.582424,-3.621538,0.455727,-4.378288,-1.972682,-1.298708,0.898208,-2.708069
